Problem,D_Num,MaOEACE vs NSGAIII,NSGAIII vs MaOEACE,MaOEACE vs MaOEACSS,MaOEACSS vs MaOEACE,MaOEACE vs NSGAIISDR,NSGAIISDR vs MaOEACE,MaOEACE vs SRA,SRA vs MaOEACE,
SWV12,500,0.968254,0.399206,0.589683,0.611111,0.318254,0.667460,0.684921,0.188095,
SWV12,500,leftGG0.045867rightGG,leftGG0.425371rightGG,leftGG0.343717rightGG,leftGG0.405493rightGG,leftGG0.251737rightGG,leftGG0.371772rightGG,leftGG0.441059rightGG,leftGG0.317044rightGG,
SWV13,500,0.800000,0.275397,0.712698,0.319841,0.414286,0.351587,0.717460,0.053968,
SWV13,500,leftGG0.335908rightGG,leftGG0.396095rightGG,leftGG0.308888rightGG,leftGG0.447820rightGG,leftGG0.381874rightGG,leftGG0.383540rightGG,leftGG0.403861rightGG,leftGG0.116036rightGG,
SWV14,500,0.719048,0.615079,0.562698,0.738889,0.284127,0.646825,0.599206,0.411905,
SWV14,500,leftGG0.396034rightGG,leftGG0.430540rightGG,leftGG0.321099rightGG,leftGG0.392796rightGG,leftGG0.310738rightGG,leftGG0.440648rightGG,leftGG0.442588rightGG,leftGG0.445173rightGG,
SWV15,500,0.960317,0.117460,0.667460,0.501587,0.540476,0.482540,0.796825,0.170635,
SWV15,500,leftGG0.088448rightGG,leftGG0.213337rightGG,leftGG0.292134rightGG,leftGG0.454157rightGG,leftGG0.287132rightGG,leftGG0.430533rightGG,leftGG0.396606rightGG,leftGG0.304378rightGG,
SWV16,500,0.894444,0.233333,0.765079,0.773810,0.841270,0.360317,0.535714,0.596032,
SWV16,500,leftGG0.298481rightGG,leftGG0.274750rightGG,leftGG0.257422rightGG,leftGG0.318218rightGG,leftGG0.286243rightGG,leftGG0.412075rightGG,leftGG0.416168rightGG,leftGG0.400262rightGG,
SWV17,500,0.557937,0.541270,0.893651,0.621429,0.805556,0.354762,0.667460,0.366667,
SWV17,500,leftGG0.449812rightGG,leftGG0.461872rightGG,leftGG0.125095rightGG,leftGG0.360968rightGG,leftGG0.347003rightGG,leftGG0.428734rightGG,leftGG0.441308rightGG,leftGG0.407055rightGG,
SWV18,500,0.626984,0.403175,0.866667,0.545238,0.870635,0.205556,0.686508,0.469048,
SWV18,500,leftGG0.421846rightGG,leftGG0.436577rightGG,leftGG0.265744rightGG,leftGG0.431020rightGG,leftGG0.292943rightGG,leftGG0.383235rightGG,leftGG0.450431rightGG,leftGG0.414958rightGG,
SWV19,500,0.586508,0.623016,0.850794,0.478571,0.794444,0.566667,0.657937,0.456349,
SWV19,500,leftGG0.475164rightGG,leftGG0.396956rightGG,leftGG0.268761rightGG,leftGG0.381713rightGG,leftGG0.268001rightGG,leftGG0.407263rightGG,leftGG0.388394rightGG,leftGG0.467625rightGG,
SWV20,500,0.433333,0.610317,0.791270,0.419841,0.739683,0.278571,0.430952,0.461111,
SWV20,500,leftGG0.436684rightGG,leftGG0.429136rightGG,leftGG0.324526rightGG,leftGG0.407019rightGG,leftGG0.364368rightGG,leftGG0.382708rightGG,leftGG0.473139rightGG,leftGG0.454346rightGG,
LA01,50,0.384921,0.378571,0.483333,0.271429,0.439683,0.419048,0.295238,0.299206,
LA01,50,leftGG0.272588rightGG,leftGG0.362570rightGG,leftGG0.310974rightGG,leftGG0.330292rightGG,leftGG0.337338rightGG,leftGG0.402480rightGG,leftGG0.378893rightGG,leftGG0.362222rightGG,
LA02,50,0.407937,0.266667,0.473810,0.250794,0.665079,0.384921,0.537302,0.123810,
LA02,50,leftGG0.346348rightGG,leftGG0.407108rightGG,leftGG0.222535rightGG,leftGG0.314374rightGG,leftGG0.211081rightGG,leftGG0.430496rightGG,leftGG0.372155rightGG,leftGG0.276350rightGG,
LA03,50,0.626190,0.119841,0.377778,0.112698,0.503968,0.142857,0.556349,0.167460,
LA03,50,leftGG0.336520rightGG,leftGG0.231018rightGG,leftGG0.300545rightGG,leftGG0.151535rightGG,leftGG0.333735rightGG,leftGG0.297402rightGG,leftGG0.417892rightGG,leftGG0.333587rightGG,
LA04,50,0.288095,0.218254,0.522222,0.490476,0.492063,0.449206,0.400000,0.292063,
LA04,50,leftGG0.324409rightGG,leftGG0.352621rightGG,leftGG0.323198rightGG,leftGG0.463220rightGG,leftGG0.285273rightGG,leftGG0.445792rightGG,leftGG0.489898rightGG,leftGG0.401242rightGG,
LA05,50,0.615079,0.171429,0.596825,0.250000,0.631746,0.159524,0.760317,0.049206,
LA05,50,leftGG0.303612rightGG,leftGG0.285807rightGG,leftGG0.212390rightGG,leftGG0.327081rightGG,leftGG0.337543rightGG,leftGG0.306013rightGG,leftGG0.302459rightGG,leftGG0.144993rightGG,
LA06,75,0.734127,0.203175,0.690476,0.098413,0.591270,0.330952,0.824603,0.041270,
LA06,75,leftGG0.407434rightGG,leftGG0.398460rightGG,leftGG0.347634rightGG,leftGG0.155855rightGG,leftGG0.415046rightGG,leftGG0.427129rightGG,leftGG0.355081rightGG,leftGG0.102242rightGG,
LA07,75,0.621429,0.238889,0.651587,0.168254,0.600000,0.259524,0.604762,0.196825,
